epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.95,1.62058,3.44909,1.24807,0.06927,0.39449,0.32077,0.21119,1.38211,3.89086,1.05397,0.000250761,0.000250761,0.000250761
2,694.286,1.48066,1.72571,1.13072,0.97973,0.25679,0.66718,0.41095,1.36302,2.59281,1.04621,0.000497054,0.000497054,0.000497054
3,1040.49,1.37544,1.24679,1.08906,0.80044,0.75072,0.80933,0.49941,1.31028,1.51291,1.03981,0.000733196,0.000733196,0.000733196
4,1378.75,1.33525,1.1242,1.07369,0.82359,0.8079,0.85804,0.53333,1.24022,1.1489,1.03291,0.000723321,0.000723321,0.000723321
5,1709.68,1.2767,1.03547,1.05075,0.8713,0.84032,0.88349,0.5559,1.22305,1.06974,1.01455,0.000708095,0.000708095,0.000708095
6,2040.11,1.25736,0.98768,1.04376,0.86003,0.85133,0.88582,0.56803,1.17202,0.94432,0.99828,0.000692869,0.000692869,0.000692869
7,2372.51,1.2514,0.94805,1.03926,0.8499,0.84619,0.87985,0.54882,1.23342,0.96452,1.01112,0.000677643,0.000677643,0.000677643
8,2704.96,1.23837,0.91279,1.03739,0.88144,0.87647,0.91108,0.57105,1.19994,0.90398,0.99802,0.000662417,0.000662417,0.000662417
9,3038.22,1.22671,0.89509,1.02669,0.88346,0.87846,0.90639,0.58658,1.13557,0.87027,0.9886,0.00064719,0.00064719,0.00064719
10,3369.62,1.18731,0.8543,1.01803,0.89188,0.87377,0.9102,0.59073,1.13853,0.83499,0.99121,0.000631964,0.000631964,0.000631964
11,3700.94,1.1745,0.84035,1.01396,0.89321,0.88966,0.91829,0.60154,1.13809,0.80041,0.98403,0.000616738,0.000616738,0.000616738
12,4031.12,1.20024,0.84233,1.02683,0.88283,0.88445,0.91598,0.59674,1.13025,0.80136,0.98937,0.000601512,0.000601512,0.000601512
13,4362.67,1.15363,0.80277,1.01205,0.89909,0.89464,0.91853,0.60219,1.10015,0.77588,0.98135,0.000586286,0.000586286,0.000586286
14,4693.4,1.1673,0.78804,1.00312,0.89726,0.86191,0.9119,0.59564,1.12638,0.80663,0.98452,0.000571059,0.000571059,0.000571059
15,5024.34,1.16739,0.79417,1.00882,0.91147,0.90166,0.92497,0.61062,1.11568,0.73437,0.9778,0.000555833,0.000555833,0.000555833
16,5354.6,1.138,0.7657,1.00856,0.90422,0.90075,0.92339,0.6136,1.10032,0.73751,0.97426,0.000540607,0.000540607,0.000540607
17,5694.84,1.15568,0.75403,1.0089,0.90478,0.90128,0.92669,0.62201,1.08031,0.71578,0.97041,0.000525381,0.000525381,0.000525381
18,6037.83,1.12829,0.7419,0.9992,0.90678,0.90002,0.9274,0.62122,1.08198,0.69882,0.97239,0.000510155,0.000510155,0.000510155
19,6379.69,1.10465,0.7185,0.99732,0.91148,0.91042,0.93153,0.62578,1.0879,0.68936,0.97208,0.000494928,0.000494928,0.000494928
20,7642.05,1.08468,0.70602,0.98368,0.91826,0.90762,0.93214,0.63143,1.075,0.67513,0.97018,0.000479702,0.000479702,0.000479702
21,7971.42,1.1074,0.70982,0.99078,0.88468,0.89308,0.92092,0.58149,1.16823,0.72381,0.98904,0.000464476,0.000464476,0.000464476
22,8300.89,1.09785,0.70192,0.98746,0.91682,0.88785,0.93269,0.6194,1.08487,0.67914,0.96873,0.00044925,0.00044925,0.00044925
23,8630.9,1.08445,0.69339,0.9868,0.92553,0.90031,0.93643,0.63287,1.07117,0.66322,0.96496,0.000434024,0.000434024,0.000434024
24,8960.55,1.08753,0.68881,0.98198,0.91292,0.89711,0.93151,0.63132,1.05906,0.64962,0.96749,0.000418797,0.000418797,0.000418797
25,9290.88,1.07248,0.66997,0.97552,0.91347,0.9075,0.93404,0.63388,1.05677,0.64554,0.96421,0.000403571,0.000403571,0.000403571
26,9623.3,1.07896,0.66955,0.98232,0.91692,0.90532,0.93621,0.63536,1.05016,0.64895,0.95784,0.000388345,0.000388345,0.000388345
27,9953.71,1.07091,0.66609,0.98408,0.90535,0.9147,0.93415,0.63088,1.05314,0.63653,0.95899,0.000373119,0.000373119,0.000373119
28,10284.1,1.06021,0.65531,0.98133,0.92326,0.90405,0.93886,0.6364,1.04738,0.63143,0.95919,0.000357893,0.000357893,0.000357893
29,10614.6,1.053,0.64514,0.98087,0.92263,0.90936,0.93353,0.63595,1.04722,0.61392,0.96058,0.000342666,0.000342666,0.000342666
30,10945.9,1.0472,0.64734,0.97488,0.91908,0.90924,0.93719,0.63496,1.05715,0.62001,0.95941,0.00032744,0.00032744,0.00032744
31,11276.2,1.04875,0.64032,0.97174,0.92294,0.9061,0.93873,0.63387,1.07466,0.62131,0.96077,0.000312214,0.000312214,0.000312214
32,11605.8,1.04235,0.63439,0.96929,0.91837,0.91179,0.93669,0.63866,1.0383,0.60755,0.95852,0.000296988,0.000296988,0.000296988
