epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67853,1.85965,3.36924,1.79028,0.00333,0.5,0.49585,0.19834,1.79008,4.06661,2.82418,0,0,0
2,3.26772,1.81787,3.27216,1.89671,0.00333,0.5,0.49585,0.19834,1.78418,4.007,2.82413,1.97525e-05,1.97525e-05,1.97525e-05
3,4.84103,1.78842,3.11487,1.82475,0.00333,0.5,0.49585,0.14875,1.85207,3.91551,2.85391,3.901e-05,3.901e-05,3.901e-05
4,6.41934,1.67964,3.11946,1.85726,0.00333,0.5,0.49585,0.09917,1.93855,3.9715,3.02287,5.77725e-05,5.77725e-05,5.77725e-05
5,7.96727,1.48905,2.92932,1.64769,0.00333,0.5,0.49585,0.07442,1.9089,3.96856,2.853,7.604e-05,7.604e-05,7.604e-05
6,9.51462,1.37349,3.1757,1.56029,0.00333,0.5,0.24835,0.04967,1.95828,3.87725,2.74003,9.38125e-05,9.38125e-05,9.38125e-05
7,11.0871,1.17717,2.96182,1.46594,0.00333,0.5,0.24835,0.02832,2.13391,3.99324,2.60689,0.00011109,0.00011109,0.00011109
8,12.6231,1.07567,2.92332,1.39174,0.00333,0.5,0.24835,0.05351,2.40064,4.03497,2.82865,0.000127872,0.000127872,0.000127872
9,14.1617,0.99771,2.81649,1.30965,0.00333,0.5,0.49585,0.10255,2.57475,3.7913,3.41254,0.00014416,0.00014416,0.00014416
10,15.7165,1.11101,2.84509,1.44592,0.00333,0.5,0.49585,0.11034,2.11634,3.99123,2.79061,0.000159952,0.000159952,0.000159952
11,17.2593,0.96407,2.60358,1.27596,0.00333,0.5,0.49585,0.11592,1.70628,4.03329,2.52721,0.00017525,0.00017525,0.00017525
12,18.8638,0.92225,2.65528,1.23358,0.00333,0.5,0.49585,0.11348,1.68042,3.81249,2.57493,0.000190053,0.000190053,0.000190053
13,20.4224,0.83834,2.39431,1.14733,0.00333,0.5,0.16585,0.04124,1.66972,3.72633,2.41626,0.00020436,0.00020436,0.00020436
14,22.0091,0.83973,2.46473,1.30424,0.00667,1,0.25115,0.07811,1.66187,3.53047,2.34327,0.000218173,0.000218173,0.000218173
