epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.49,0.92413,1.8551,1.52323,1,0.59718,0.91371,0.54782,1.07021,2.92693,2.12987,0.000650794,0.000650794,0.000650794
2,341.323,0.94113,1.17695,1.49432,0.73602,0.86364,0.82796,0.43562,1.15685,2.64037,2.31659,0.00130442,0.00130442,0.00130442
3,512.853,0.97988,1.05638,1.51429,0.15694,0.15152,0.08418,0.01736,2.76295,3.6241,3.59253,0.00194484,0.00194484,0.00194484
4,684.147,1.01045,0.95964,1.55357,0.72798,0.77273,0.81811,0.40994,1.53441,1.89286,2.69455,0.0019406,0.0019406,0.0019406
5,854.353,0.97687,0.87271,1.50628,0.59678,0.59091,0.65058,0.29455,1.71942,2.27918,2.63731,0.0019208,0.0019208,0.0019208
6,1025.67,0.94101,0.78682,1.48572,0.79988,0.72672,0.80503,0.48666,1.2898,1.76961,2.21294,0.001901,0.001901,0.001901
7,1195.7,0.9494,0.7531,1.46866,0.47429,0.63636,0.54885,0.2852,1.81619,1.89114,2.56407,0.0018812,0.0018812,0.0018812
8,1370.22,0.93937,0.73133,1.47353,0.77283,0.87631,0.8716,0.49445,1.42673,1.32527,2.63839,0.0018614,0.0018614,0.0018614
9,1539.58,0.92879,0.69992,1.46925,0.95434,0.86364,0.94035,0.60354,1.27958,1.04202,2.15799,0.0018416,0.0018416,0.0018416
10,1706.6,0.88366,0.63428,1.4207,0.98142,0.95455,0.95451,0.72162,0.89957,0.67668,1.70764,0.0018218,0.0018218,0.0018218
11,1873.58,0.90376,0.63589,1.4307,0.62199,0.63636,0.63651,0.38508,1.49902,1.59879,2.22113,0.001802,0.001802,0.001802
12,2041.57,0.87649,0.62678,1.43264,0.86059,0.93538,0.94204,0.6929,0.96106,0.79993,1.76652,0.0017822,0.0017822,0.0017822
13,2215.17,0.83785,0.55147,1.38206,0.94002,0.94989,0.95695,0.68496,0.90626,0.83958,1.70599,0.0017624,0.0017624,0.0017624
14,2387.27,0.87222,0.58012,1.40883,1,0.93874,0.95541,0.77467,0.81152,0.59328,1.53728,0.0017426,0.0017426,0.0017426
15,2556.41,0.83374,0.56776,1.3948,0.94691,0.86364,0.92315,0.59899,1.1114,1.02041,1.88518,0.0017228,0.0017228,0.0017228
16,2724.15,0.80859,0.52847,1.35712,0.89982,0.81818,0.91086,0.68294,0.92369,0.84664,1.68389,0.001703,0.001703,0.001703
17,2897.15,0.82548,0.52588,1.3649,0.93599,0.92424,0.94947,0.76895,0.80084,0.58347,1.52226,0.0016832,0.0016832,0.0016832
18,3066.36,0.80167,0.50644,1.35222,0.91614,0.93939,0.94802,0.66459,0.96733,0.7886,1.70763,0.0016634,0.0016634,0.0016634
19,3237.03,0.79035,0.5068,1.34127,0.99858,0.95455,0.96976,0.78132,0.78812,0.43711,1.54124,0.0016436,0.0016436,0.0016436
20,3409.06,0.81797,0.52348,1.36404,0.9199,0.90909,0.94283,0.70797,0.92776,0.70743,1.73631,0.0016238,0.0016238,0.0016238
21,3581.68,0.77449,0.50084,1.32344,0.90995,0.91867,0.9379,0.73825,0.80902,0.64121,1.5501,0.001604,0.001604,0.001604
22,3752.69,0.73802,0.48392,1.3085,0.96414,0.95455,0.96054,0.79423,0.74891,0.48438,1.48207,0.0015842,0.0015842,0.0015842
23,3925.42,0.76818,0.50201,1.33086,0.98428,0.94847,0.97832,0.77862,0.78981,0.52803,1.52246,0.0015644,0.0015644,0.0015644
24,4096.84,0.7743,0.48266,1.33163,0.95148,0.84848,0.95929,0.70432,0.99002,0.66728,1.78046,0.0015446,0.0015446,0.0015446
25,4268.15,0.75271,0.46543,1.30096,0.9982,0.95455,0.98153,0.77386,0.86703,0.45194,1.60058,0.0015248,0.0015248,0.0015248
26,4441.98,0.75713,0.47115,1.30112,0.9401,0.95126,0.97229,0.78651,0.79413,0.49504,1.49706,0.001505,0.001505,0.001505
27,4610.65,0.75225,0.47628,1.32097,0.96872,0.93841,0.96433,0.69529,1.02294,0.59853,1.91194,0.0014852,0.0014852,0.0014852
28,4776.85,0.73584,0.4507,1.28598,0.98394,0.95455,0.98368,0.79814,0.74268,0.45518,1.45884,0.0014654,0.0014654,0.0014654
29,4944.22,0.74199,0.45612,1.29583,0.98458,0.96776,0.98346,0.83284,0.68026,0.45332,1.37662,0.0014456,0.0014456,0.0014456
30,5117.52,0.72523,0.44636,1.29656,1,0.96597,0.98167,0.80363,0.73892,0.46361,1.45468,0.0014258,0.0014258,0.0014258
31,5303.63,0.70027,0.44542,1.27039,0.93106,0.92424,0.96696,0.77119,0.72394,0.52041,1.42403,0.001406,0.001406,0.001406
32,5485.14,0.7032,0.44775,1.28083,0.98275,0.95455,0.97721,0.80508,0.76375,0.48193,1.47956,0.0013862,0.0013862,0.0013862
33,5663.48,0.71011,0.44933,1.27248,0.99932,0.95455,0.98108,0.78374,0.80142,0.50213,1.5411,0.0013664,0.0013664,0.0013664
34,5843.1,0.68318,0.43238,1.2635,1,0.95228,0.98432,0.83342,0.66233,0.39961,1.3643,0.0013466,0.0013466,0.0013466
35,6022.32,0.71979,0.45961,1.27721,1,0.93839,0.98415,0.81684,0.74202,0.45909,1.44826,0.0013268,0.0013268,0.0013268
36,6188.66,0.69862,0.42704,1.25468,0.98527,0.95455,0.9846,0.82751,0.72727,0.40809,1.45864,0.001307,0.001307,0.001307
37,6382.66,0.65513,0.40851,1.2397,0.99437,0.98485,0.98595,0.80105,0.71253,0.39915,1.40515,0.0012872,0.0012872,0.0012872
38,6586.37,0.66351,0.39922,1.23548,0.98944,0.95455,0.98277,0.82201,0.73738,0.44039,1.43748,0.0012674,0.0012674,0.0012674
39,6770.21,0.66096,0.41004,1.25637,0.96921,0.95396,0.98219,0.833,0.67127,0.39705,1.35506,0.0012476,0.0012476,0.0012476
40,6945.99,0.67032,0.41124,1.24338,1,0.9686,0.98648,0.8186,0.74344,0.38859,1.42699,0.0012278,0.0012278,0.0012278
41,7141.25,0.65543,0.40129,1.24556,0.96989,0.98485,0.98577,0.8406,0.64671,0.37795,1.35238,0.001208,0.001208,0.001208
42,7326.81,0.65918,0.41228,1.24524,1,0.95258,0.98342,0.81174,0.71859,0.40646,1.40975,0.0011882,0.0011882,0.0011882
43,7496.79,0.62761,0.3835,1.2092,0.97442,0.92424,0.9758,0.75579,0.81561,0.52174,1.56785,0.0011684,0.0011684,0.0011684
44,7671.3,0.64112,0.38921,1.22904,0.9984,0.95455,0.98415,0.81893,0.69977,0.37501,1.4394,0.0011486,0.0011486,0.0011486
45,7853.86,0.65165,0.39575,1.23071,0.99383,0.95455,0.98516,0.81493,0.72273,0.41903,1.42854,0.0011288,0.0011288,0.0011288
46,8034.7,0.62503,0.38561,1.21026,0.98033,0.95455,0.98399,0.8135,0.72514,0.46312,1.45353,0.001109,0.001109,0.001109
47,8216.29,0.65746,0.39256,1.22903,0.93934,0.95455,0.97944,0.80726,0.72458,0.43765,1.42388,0.0010892,0.0010892,0.0010892
48,8400.83,0.6266,0.36808,1.20846,0.9836,0.9697,0.98574,0.83675,0.68277,0.36686,1.36665,0.0010694,0.0010694,0.0010694
49,8583.47,0.61833,0.37867,1.21344,0.98427,0.9697,0.98483,0.83324,0.65984,0.38187,1.33833,0.0010496,0.0010496,0.0010496
50,8755.27,0.6275,0.37921,1.20695,0.97011,0.98342,0.98549,0.78468,0.74144,0.42087,1.50686,0.0010298,0.0010298,0.0010298
51,8936.77,0.61143,0.36186,1.20635,0.95392,0.92424,0.97645,0.73632,0.93057,0.68686,1.71356,0.00101,0.00101,0.00101
52,9118.93,0.62086,0.35935,1.20843,0.97009,0.98278,0.98496,0.82501,0.68606,0.42493,1.40371,0.0009902,0.0009902,0.0009902
53,9306.82,0.59881,0.3639,1.17944,1,0.98324,0.98835,0.8469,0.62046,0.36202,1.30029,0.0009704,0.0009704,0.0009704
54,9478.3,0.58569,0.34927,1.19363,0.95566,0.97984,0.98423,0.82668,0.67795,0.36284,1.35826,0.0009506,0.0009506,0.0009506
55,9650.08,0.58775,0.34756,1.1889,0.99972,0.98485,0.98718,0.8383,0.68567,0.31842,1.35472,0.0009308,0.0009308,0.0009308
56,9821.53,0.59034,0.34927,1.17367,0.99921,0.9697,0.97208,0.83699,0.63552,0.39142,1.32747,0.000911,0.000911,0.000911
57,9992.93,0.57589,0.34674,1.17232,1,0.96547,0.9859,0.80658,0.71372,0.4211,1.42179,0.0008912,0.0008912,0.0008912
58,10165.3,0.57964,0.33955,1.17219,0.99924,0.9697,0.98514,0.81562,0.66806,0.3409,1.38866,0.0008714,0.0008714,0.0008714
59,10335.4,0.57882,0.34827,1.1698,1,0.96766,0.98607,0.8194,0.68292,0.35295,1.41114,0.0008516,0.0008516,0.0008516
60,10503.8,0.5637,0.32743,1.16143,0.99915,0.9697,0.98702,0.8469,0.63295,0.32558,1.33499,0.0008318,0.0008318,0.0008318
61,10673.7,0.57357,0.33977,1.17841,1,0.98377,0.98701,0.84901,0.62292,0.35732,1.34848,0.000812,0.000812,0.000812
62,10843.5,0.56621,0.33986,1.1678,0.93961,0.9697,0.98182,0.83205,0.66533,0.39843,1.38229,0.0007922,0.0007922,0.0007922
63,11014.8,0.58285,0.34544,1.17272,0.99018,0.9697,0.98636,0.83235,0.67954,0.35931,1.36091,0.0007724,0.0007724,0.0007724
64,11184,0.55841,0.33067,1.15448,0.99815,0.9697,0.98745,0.83654,0.67133,0.3544,1.35618,0.0007526,0.0007526,0.0007526
65,11350.5,0.54197,0.32509,1.14838,1,0.98404,0.98736,0.85435,0.62898,0.33361,1.32549,0.0007328,0.0007328,0.0007328
